date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,incidents,department_name
2020-10-19,-25.714285714285715,-11.428571428571429,48.714285714285715,-45.57142857142857,-40.57142857142857,13.857142857142858,-0.2672104479413524,Alexandria Fire Department (73375)
2020-10-26,-25.714285714285715,-12.0,40.0,-46.857142857142854,-41.0,14.714285714285714,3.619238957811286,Alexandria Fire Department (73375)
2020-11-09,-26.285714285714285,-13.0,40.42857142857143,-46.42857142857143,-40.857142857142854,14.857142857142858,-8.472998394760202,Alexandria Fire Department (73375)
2020-11-16,-29.714285714285715,-11.714285714285714,9.428571428571429,-49.285714285714285,-42.57142857142857,16.571428571428573,-0.17137889638614112,Alexandria Fire Department (73375)
2020-11-23,-30.571428571428573,-10.0,0.7142857142857143,-48.714285714285715,-41.142857142857146,16.285714285714285,-5.904905326812021,Alexandria Fire Department (73375)
2020-11-30,-36.57142857142857,-13.142857142857142,11.428571428571429,-54.714285714285715,-49.714285714285715,17.0,-2.7173941676984286,Alexandria Fire Department (73375)
2020-12-07,-31.714285714285715,-13.857142857142858,-13.0,-51.57142857142857,-42.57142857142857,17.0,1.9316218287005902,Alexandria Fire Department (73375)
2020-12-14,-32.0,-14.714285714285714,0.42857142857142855,-50.714285714285715,-42.0,17.0,7.324458423312114,Alexandria Fire Department (73375)
2020-12-21,-32.42857142857143,-13.857142857142858,-24.571428571428573,-55.0,-43.285714285714285,17.571428571428573,7.71573444135998,Alexandria Fire Department (73375)
2020-12-28,-38.42857142857143,-15.714285714285714,-13.0,-61.857142857142854,-50.857142857142854,17.714285714285715,7.420717420717419,Alexandria Fire Department (73375)
2020-02-17,7.0,-1.0,21.333333333333332,-2.3333333333333335,-12.666666666666666,2.0,2.600859512396507,Anne Arundel County Fire Department (73693)
2020-02-24,2.142857142857143,-0.5714285714285714,21.142857142857142,4.571428571428571,2.2857142857142856,-0.42857142857142855,2.26265687017746,Anne Arundel County Fire Department (73693)
2020-03-02,4.285714285714286,0.42857142857142855,11.857142857142858,3.7142857142857144,2.2857142857142856,-0.42857142857142855,1.772204697852707,Anne Arundel County Fire Department (73693)
2020-03-16,-1.4285714285714286,8.857142857142858,34.42857142857143,-17.0,-7.142857142857143,3.142857142857143,-5.2493488038257325,Anne Arundel County Fire Department (73693)
2020-03-23,-33.0,-8.714285714285714,32.142857142857146,-56.0,-37.42857142857143,15.714285714285714,-11.90799952078901,Anne Arundel County Fire Department (73693)
2020-03-30,-43.0,-22.428571428571427,22.0,-72.57142857142857,-47.857142857142854,20.428571428571427,-18.024018389069713,Anne Arundel County Fire Department (73693)
2020-04-06,-47.857142857142854,-28.571428571428573,5.0,-77.0,-52.857142857142854,22.857142857142858,-16.734605560721153,Anne Arundel County Fire Department (73693)
2020-04-13,-48.857142857142854,-28.857142857142858,5.428571428571429,-79.28571428571429,-55.0,23.285714285714285,-14.311279325503097,Anne Arundel County Fire Department (73693)
2020-04-20,-45.57142857142857,-22.333333333333332,10.428571428571429,-79.42857142857143,-51.42857142857143,22.285714285714285,-17.175594192193067,Anne Arundel County Fire Department (73693)
2020-04-27,-46.0,-23.142857142857142,2.4285714285714284,-79.85714285714286,-51.42857142857143,22.285714285714285,-24.37072844144651,Anne Arundel County Fire Department (73693)
2020-05-04,-41.285714285714285,-18.666666666666668,42.0,-76.57142857142857,-49.714285714285715,19.571428571428573,-18.322068113367152,Anne Arundel County Fire Department (73693)
2020-05-11,-38.57142857142857,-15.285714285714286,36.857142857142854,-75.28571428571429,-47.57142857142857,19.714285714285715,-10.856238961391966,Anne Arundel County Fire Department (73693)
2020-05-25,-34.285714285714285,-12.285714285714286,104.0,-70.71428571428571,-48.285714285714285,18.428571428571427,-14.998702761843179,Anne Arundel County Fire Department (73693)
2020-06-01,-31.0,-10.142857142857142,128.57142857142858,-67.0,-39.285714285714285,15.857142857142858,-13.587224978841887,Anne Arundel County Fire Department (73693)
2020-06-08,-27.571428571428573,-6.0,145.85714285714286,-64.85714285714286,-37.142857142857146,14.428571428571429,-16.86226690525015,Anne Arundel County Fire Department (73693)
2020-06-15,-24.571428571428573,-5.0,168.42857142857142,-58.57142857142857,-35.42857142857143,12.857142857142858,-13.195943384473349,Anne Arundel County Fire Department (73693)
2020-06-22,-21.571428571428573,-5.714285714285714,127.0,-52.57142857142857,-35.285714285714285,12.428571428571429,-9.788452558037141,Anne Arundel County Fire Department (73693)
2020-06-29,-17.428571428571427,-5.571428571428571,179.14285714285714,-45.42857142857143,-34.142857142857146,11.285714285714286,-7.139207724868312,Anne Arundel County Fire Department (73693)
2020-07-13,-15.428571428571429,-3.2857142857142856,169.71428571428572,-40.142857142857146,-34.142857142857146,11.142857142857142,-6.347381314232168,Anne Arundel County Fire Department (73693)
2020-07-20,-15.714285714285714,-3.4285714285714284,162.57142857142858,-42.142857142857146,-35.0,11.0,-6.454603472390796,Anne Arundel County Fire Department (73693)
2020-07-27,-16.714285714285715,-5.0,143.0,-42.42857142857143,-34.285714285714285,11.142857142857142,-5.8403828459004306,Anne Arundel County Fire Department (73693)
2020-08-03,-16.428571428571427,-5.571428571428571,140.57142857142858,-46.142857142857146,-34.57142857142857,11.285714285714286,-2.9332909592774152,Anne Arundel County Fire Department (73693)
2020-08-10,-18.142857142857142,-8.285714285714286,136.71428571428572,-51.0,-35.714285714285715,11.571428571428571,0.7492469231237429,Anne Arundel County Fire Department (73693)
2020-08-17,-18.571428571428573,-9.142857142857142,103.16666666666667,-47.42857142857143,-35.57142857142857,11.428571428571429,-3.2169173528007784,Anne Arundel County Fire Department (73693)
2020-08-24,-16.857142857142858,-8.142857142857142,,-48.142857142857146,-34.42857142857143,9.857142857142858,-7.8926408856692705,Anne Arundel County Fire Department (73693)
2020-08-31,-17.571428571428573,-9.285714285714286,,-48.57142857142857,-33.714285714285715,10.428571428571429,-10.62631433461665,Anne Arundel County Fire Department (73693)
2020-09-07,-15.714285714285714,-6.714285714285714,,-48.142857142857146,-38.857142857142854,10.428571428571429,-6.147219136742341,Anne Arundel County Fire Department (73693)
2020-09-14,-19.142857142857142,-11.142857142857142,146.0,-48.285714285714285,-33.57142857142857,10.142857142857142,-1.867804761896732,Anne Arundel County Fire Department (73693)
2020-09-21,-15.571428571428571,-9.857142857142858,125.42857142857143,-47.285714285714285,-31.428571428571427,9.285714285714286,-1.3988425719666273,Anne Arundel County Fire Department (73693)
2020-09-28,-17.142857142857142,-11.428571428571429,96.85714285714286,-46.285714285714285,-31.428571428571427,9.857142857142858,1.393018448862455,Anne Arundel County Fire Department (73693)
2020-10-05,-16.428571428571427,-9.857142857142858,97.85714285714286,-47.714285714285715,-30.571428571428573,9.571428571428571,-9.098625039281426,Anne Arundel County Fire Department (73693)
2020-10-12,-17.857142857142858,-13.0,80.0,-45.57142857142857,-32.42857142857143,10.285714285714286,-9.400328998380738,Anne Arundel County Fire Department (73693)
2020-10-19,-18.142857142857142,-12.285714285714286,87.42857142857143,-43.714285714285715,-30.714285714285715,9.571428571428571,-5.870589342068878,Anne Arundel County Fire Department (73693)
2020-11-02,-20.714285714285715,-13.142857142857142,43.0,-47.714285714285715,-31.0,10.714285714285714,-0.5746480038517431,Anne Arundel County Fire Department (73693)
2020-11-09,-19.142857142857142,-13.428571428571429,83.71428571428571,-48.42857142857143,-30.142857142857142,10.571428571428571,-0.31406592471951505,Anne Arundel County Fire Department (73693)
2020-11-16,-20.571428571428573,-13.714285714285714,24.571428571428573,-47.0,-32.714285714285715,12.571428571428571,1.4547810237715164,Anne Arundel County Fire Department (73693)
2020-11-23,-20.857142857142858,-11.285714285714286,22.428571428571427,-42.857142857142854,-30.285714285714285,12.142857142857142,2.3571508457823565,Anne Arundel County Fire Department (73693)
2020-11-30,-27.571428571428573,-16.285714285714285,21.0,-42.857142857142854,-43.285714285714285,15.285714285714286,-0.7039819797185396,Anne Arundel County Fire Department (73693)
2020-12-07,-21.571428571428573,-13.714285714285714,9.285714285714286,-47.57142857142857,-31.285714285714285,13.142857142857142,-8.297184125549288,Anne Arundel County Fire Department (73693)
2020-12-14,-20.714285714285715,-13.285714285714286,20.142857142857142,-48.857142857142854,-31.142857142857142,12.571428571428571,-3.3840255190558515,Anne Arundel County Fire Department (73693)
2020-12-21,-20.857142857142858,-11.0,-6.142857142857143,-40.142857142857146,-33.42857142857143,14.142857142857142,-0.06824707021895297,Anne Arundel County Fire Department (73693)
2020-12-28,-25.714285714285715,-14.714285714285714,-5.857142857142857,-37.42857142857143,-47.142857142857146,16.428571428571427,-5.430209606941076,Anne Arundel County Fire Department (73693)
2020-06-01,-22.857142857142858,-7.714285714285714,68.57142857142857,-32.0,-29.285714285714285,9.0,-3.616703072689716,Asheville Fire Department (73930)
2020-06-08,-19.857142857142858,-4.571428571428571,96.0,-27.428571428571427,-30.428571428571427,7.857142857142857,-8.97711843263841,Asheville Fire Department (73930)
2020-06-15,-17.142857142857142,-4.285714285714286,87.0,-24.428571428571427,-29.285714285714285,7.714285714285714,-5.48075982022516,Asheville Fire Department (73930)
2020-06-22,-16.0,-3.5714285714285716,78.42857142857143,-20.285714285714285,-30.0,7.142857142857143,-7.745351992134225,Asheville Fire Department (73930)
